customer_id,customer_name,order_date,amount,category,quantity
101, John Smith,2024-01-15,250.50,Electronics,2.0
102,jane doe,01/16/2024,99.99,electronics,1.0
103,ALICE BROWN,2024-01-17,1200.00,Clothing,3.0
104,Bob White,17-01-2024,45.00,CLOTHING,
105,Charlie Black,2024-01-18,78.25,Food,1.0
102,jane doe,01/16/2024,99.99,electronics,1.0
106,Diana Green,2024/01/19,15000.00,Electronics,5.0
107,Ethan Grey,2024-01-20,60.00,Food,2.0
108,fiona blue,2024-01-21,35.50,clothing,
109, George Pink ,2024-01-22,89.00,Food,1.0
110,Hannah Gold,2024-01-23,120.00,Electronics,2.0
999,Ian Silver,2024-01-24,-50.00,Food,1.0
